iter	RMSE
0	14.31086896
1	13.69134726
2	13.09827218
3	12.56313466
4	12.07178626
5	11.6309567
6	11.2192135
7	10.91222009
8	10.48893272
9	10.10412041
10	9.767499324
11	9.44993078
12	9.131963924
13	8.868032446
14	8.615156911
15	8.38616243
16	8.173417624
17	7.97869518
18	7.781628603
19	7.587043833
20	7.43248558
21	7.272028693
22	7.141033568
23	6.997145848
24	6.880001254
25	6.761284519
26	6.655662982
27	6.549246584
28	6.454836014
29	6.378585376
30	6.292131972
31	6.2154432
32	6.149333014
33	6.08315578
34	6.03278816
35	5.972287845
36	5.915207832
37	5.861235814
38	5.813209948
39	5.77859748
40	5.72279565
41	5.693157056
42	5.653539232
43	5.615393609
44	5.584733703
45	5.555128695
46	5.521481668
47	5.49080404
48	5.464767281
49	5.439232946
50	5.412943619
51	5.388735987
52	5.365908
53	5.34192928
54	5.322612554
55	5.299384094
56	5.285375298
57	5.272450204
58	5.255788547
59	5.242660643
60	5.223202692
61	5.207174781
62	5.193655814
63	5.180003176
64	5.169088973
65	5.161428924
66	5.145031239
67	5.134614869
68	5.125951881
69	5.116890952
70	5.112283824
71	5.101349262
72	5.097179818
73	5.085330054
74	5.076711632
75	5.068813202
76	5.056305459
77	5.044413679
78	5.03928965
79	5.025330297
80	5.016480271
81	5.006684642
82	5.001049347
83	4.995662464
84	4.984572785
85	4.976768223
86	4.971062834
87	4.968360398
88	4.961324139
89	4.956376075
90	4.951302391
91	4.945150188
92	4.938383202
93	4.931326736
94	4.922986723
95	4.914580451
96	4.913036856
97	4.906422919
98	4.897949028
99	4.894442607
100	4.889541703
101	4.882329943
102	4.872616769
103	4.871596847
104	4.864233042
105	4.857761
106	4.849179795
107	4.84404123
108	4.839157505
109	4.833811497
110	4.82930565
111	4.822751091
112	4.81880545
113	4.81494867
114	4.811103189
115	4.799545808
116	4.796193306
117	4.787794271
118	4.780751951
119	4.773742902
120	4.764551455
121	4.759420344
122	4.753761422
123	4.751555803
124	4.744354436
125	4.739101175
126	4.734061338
127	4.724454294
128	4.721715175
129	4.715899343
130	4.709126701
131	4.705396353
132	4.70094095
133	4.686344731
134	4.678321946
135	4.675809109
136	4.669926139
137	4.665762639
138	4.663153344
139	4.654198661
140	4.641676627
141	4.63685918
142	4.631378993
143	4.627290224
144	4.624141181
145	4.622871473
146	4.616661304
147	4.612991318
148	4.611634105
149	4.603142522
150	4.598101882
151	4.592226328
152	4.58697727
153	4.58576686
154	4.578192723
155	4.575886336
156	4.569875696
157	4.563720035
158	4.561019712
159	4.555268498
160	4.547889893
161	4.536745276
162	4.527507492
163	4.524096689
164	4.516841615
165	4.506139022
166	4.501139607
167	4.499257348
168	4.491123434
169	4.484353283
170	4.478197299
171	4.471601255
172	4.46463532
173	4.460731757
174	4.452632554
175	4.440903036
176	4.439788064
177	4.439038463
178	4.436613398
179	4.427397203
180	4.418746725
181	4.411355543
182	4.407344811
183	4.400141909
184	4.399788556
185	4.396176625
186	4.38817432
187	4.381754285
188	4.379238901
189	4.373266598
190	4.366108193
191	4.360754382
192	4.360307482
193	4.352853374
194	4.346198591
195	4.340227305
196	4.338524283
197	4.331907855
198	4.328372115
199	4.322745329
200	4.319564293
201	4.316711569
202	4.308616644
203	4.302165543
204	4.30048476
205	4.295667472
206	4.292143654
207	4.285423634
208	4.278169058
209	4.27380485
210	4.271506421
211	4.268753986
212	4.261599532
213	4.257069878
214	4.251801992
215	4.251250989
216	4.245744506
217	4.238843145
218	4.235131703
219	4.230510782
220	4.225920585
221	4.221965659
222	4.211224231
223	4.20876024
224	4.20588402
225	4.203665939
226	4.199576269
227	4.19530665
228	4.188058197
229	4.185600461
230	4.180345873
231	4.179186569
232	4.175795045
233	4.174571191
234	4.170639415
235	4.165119272
236	4.158337973
237	4.151268538
238	4.15040497
239	4.143787811
240	4.140603499
241	4.136926624
242	4.136597876
243	4.1357623
244	4.128408378
245	4.12556012
246	4.122548955
247	4.121835278
248	4.114767844
249	4.111101604
250	4.109713663
251	4.104825599
252	4.098806967
253	4.097995802
254	4.092457601
255	4.089150956
256	4.080797466
257	4.069236238
258	4.067659799
259	4.065364073
260	4.062102913
261	4.054454216
262	4.048077493
263	4.043341112
264	4.035777723
265	4.025689929
266	4.020681858
267	4.014319729
268	4.01134868
269	4.010807783
270	4.009173938
271	4.006601535
272	4.001252348
273	3.997181108
274	3.991532076
275	3.990719248
276	3.983669927
277	3.979314482
278	3.977584374
279	3.973988007
280	3.969139897
281	3.962630829
282	3.960393783
283	3.954000631
284	3.95258239
285	3.944895852
286	3.93611244
287	3.930870465
288	3.924737692
289	3.917755037
290	3.911363474
291	3.906870211
292	3.903413885
293	3.89857746
294	3.89565312
295	3.893185118
296	3.889595969
297	3.884490229
298	3.875391814
299	3.869151107
300	3.863613476
301	3.862639731
302	3.86141641
303	3.859976619
304	3.857131157
305	3.856236671
306	3.853310179
307	3.851651395
308	3.848620225
309	3.842533621
310	3.84086238
311	3.836288638
312	3.831959613
313	3.828902413
314	3.828393906
315	3.826671597
316	3.822039295
317	3.817236866
318	3.814370519
319	3.81073554
320	3.803179204
321	3.79697606
322	3.792796523
323	3.788595464
324	3.786294283
325	3.783524762
326	3.781881001
327	3.778709704
328	3.775398421
329	3.770082568
330	3.763932341
331	3.756934482
332	3.756118007
333	3.754075721
334	3.748743689
335	3.744229624
336	3.737810159
337	3.734635703
338	3.729130286
339	3.723925406
340	3.71556662
341	3.715330324
342	3.713148707
343	3.7079871
344	3.707070075
345	3.706549554
346	3.704145609
347	3.699771361
348	3.690894432
349	3.688779864
350	3.686391008
351	3.686029853
352	3.67942497
353	3.67832413
354	3.670323503
355	3.663637439
356	3.657610783
357	3.656143865
358	3.653889621
359	3.648302764
360	3.642313331
361	3.63783522
362	3.633666239
363	3.627618617
364	3.623902442
365	3.620427466
366	3.614776524
367	3.612120395
368	3.605320895
369	3.60213586
370	3.598073656
371	3.597101229
372	3.59267271
373	3.589924643
374	3.588665994
375	3.585474746
376	3.584575786
377	3.579159317
378	3.577219435
379	3.571394363
380	3.569281942
381	3.568164851
382	3.564159527
383	3.561573399
384	3.55993682
385	3.559646932
386	3.558673935
387	3.550245134
388	3.545962744
389	3.545514804
390	3.542151292
391	3.540251328
392	3.534216391
393	3.531286323
394	3.528102854
395	3.520483814
396	3.517406395
397	3.512194206
398	3.510025873
399	3.504650629
400	3.502792876
401	3.498948096
402	3.49362274
403	3.48621456
404	3.484315882
405	3.481487674
406	3.479514763
407	3.47850013
408	3.472290487
409	3.47167544
410	3.46804409
411	3.461666953
412	3.461136587
413	3.458538686
414	3.453477268
415	3.447500772
416	3.442109372
417	3.441541266
418	3.438648997
419	3.433432196
420	3.427896367
421	3.425969167
422	3.42177901
423	3.417110821
424	3.415143262
425	3.414290376
426	3.414024359
427	3.413825775
428	3.412743539
429	3.409852575
430	3.405994475
431	3.40528912
432	3.403381783
433	3.402419573
434	3.400138105
435	3.395429427
436	3.394426612
437	3.390762563
438	3.387715606
439	3.387491479
440	3.384940799
441	3.384836391
442	3.3841944
443	3.382538255
444	3.376189395
445	3.374026626
446	3.373366553
447	3.370771837
448	3.369323242
449	3.369112049
450	3.367830331
451	3.366220096
452	3.364087184
453	3.360124852
454	3.357880285
455	3.35583784
456	3.350329441
457	3.34844554
458	3.341803857
459	3.337541973
460	3.337083353
461	3.333494841
462	3.332000832
463	3.327657412
464	3.325850342
465	3.322946915
466	3.320455308
467	3.315019283
468	3.31313774
469	3.308029176
470	3.306153978
471	3.301971884
472	3.300805556
473	3.293218249
474	3.287543722
475	3.283807974
476	3.278718131
477	3.277022608
478	3.276488161
479	3.276051914
480	3.274439202
481	3.271111969
482	3.26900098
483	3.268899033
484	3.268379201
485	3.265497022
486	3.263923424
487	3.261921618
488	3.260961354
489	3.259860598
490	3.258610125
491	3.254424135
492	3.254052295
493	3.248761841
494	3.245990185
495	3.245591994
496	3.244374452
497	3.242518834
498	3.237175049
499	3.234815928
