iter	Passed	Remaining
0	58	58052
1	58	29150
2	58	19512
3	58	14679
4	59	11773
5	59	9835
6	59	8456
7	59	7419
8	60	6616
9	60	5970
10	60	5442
11	60	5004
12	60	4630
13	61	4309
14	61	4033
15	61	3790
16	61	3576
17	62	3386
18	62	3217
19	62	3063
20	62	2924
21	62	2798
22	63	2684
23	63	2578
24	63	2481
25	63	2390
26	64	2307
27	64	2230
28	64	2158
29	64	2091
30	64	2029
31	65	1969
32	65	1914
33	65	1862
34	65	1814
35	66	1768
36	66	1723
37	66	1682
38	66	1643
39	66	1605
40	67	1569
41	67	1536
42	67	1503
43	67	1471
44	67	1442
45	68	1413
46	68	1386
47	68	1361
48	68	1336
49	69	1312
50	69	1289
51	69	1267
52	69	1246
53	69	1226
54	70	1206
55	70	1189
56	70	1172
57	71	1154
58	71	1137
59	71	1120
60	71	1103
61	71	1088
62	72	1073
63	72	1058
64	72	1044
65	72	1030
66	73	1017
67	73	1002
68	73	989
69	73	976
70	73	965
71	73	953
72	74	942
73	74	930
74	74	919
75	74	909
76	75	899
77	75	889
78	75	879
79	75	870
80	75	861
81	76	852
82	76	843
83	76	834
84	76	824
85	76	816
86	76	807
87	77	800
88	77	792
89	77	784
90	77	777
91	78	770
92	78	763
93	78	756
94	78	750
95	78	743
96	79	737
97	79	730
98	79	724
99	79	718
100	80	712
101	80	711
102	81	705
103	81	701
104	81	696
105	81	690
106	82	685
107	82	679
108	82	674
109	82	669
110	83	664
111	83	660
112	83	655
113	83	650
114	83	645
115	84	640
116	84	636
117	84	631
118	84	626
119	84	622
120	85	618
121	85	614
122	85	609
123	85	605
124	85	601
125	86	597
126	86	593
127	86	589
128	86	585
129	86	581
130	87	578
131	87	574
132	87	570
133	87	567
134	87	563
135	88	560
136	88	557
137	88	553
138	88	549
139	89	546
140	89	543
141	89	540
142	89	537
143	89	534
144	90	531
145	90	528
146	90	525
147	90	522
148	90	519
149	91	516
150	91	513
151	91	511
152	91	508
153	92	506
154	92	503
155	92	500
156	92	497
157	92	495
158	93	492
159	93	490
160	93	487
161	93	485
162	94	482
163	94	480
164	94	478
165	94	475
166	94	473
167	95	471
168	95	469
169	95	466
170	95	464
171	96	462
172	96	460
173	96	457
174	96	455
175	96	453
176	97	451
177	97	449
178	97	447
179	97	445
180	97	442
181	98	440
182	98	438
183	98	436
184	98	434
185	98	432
186	99	430
187	99	428
188	99	426
189	99	425
190	99	423
191	100	421
192	100	419
193	100	417
194	100	415
195	100	414
196	101	412
197	101	410
198	101	409
199	101	407
200	102	405
201	102	403
202	102	402
203	102	400
204	102	398
205	103	397
206	103	395
207	103	393
208	103	392
209	103	390
210	104	389
211	104	387
212	104	386
213	104	384
214	104	383
215	105	381
216	105	380
217	105	378
218	105	377
219	105	375
220	106	374
221	106	372
222	106	371
223	107	370
224	107	369
225	107	367
226	107	366
227	107	365
228	108	364
229	108	362
230	108	361
231	108	360
232	109	358
233	109	357
234	109	356
235	109	354
236	109	353
237	110	352
238	110	351
239	110	349
240	110	348
241	110	347
242	111	346
243	111	345
244	111	343
245	111	342
246	112	341
247	112	340
248	112	339
249	112	338
250	112	337
251	113	336
252	113	334
253	113	333
254	113	332
255	114	331
256	114	330
257	114	329
258	114	328
259	115	327
260	115	326
261	115	325
262	115	323
